"pk";"final_hostname";"final_ip";"_time";"final_ip_type";"final_ip_subnet_network_type";"final_ip_zone";"final_ip_zone_location";"metisCreatedDate";"shortDescription";"primarySupportGroup";"primaryUsedBy";"ComputerDn";"OrgUnitDn";"LocationFromAd_L";"LocationFromAd_City";"CountryFromAd";"LocationAbbreviation";"OuObjectDescription";"FromApplicationOu"
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Jochen Boehringer (BD/BA-MS)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"Connection Type: BCN ; Profile: office";"Germany Middle Feuerbach";"Jochen Damzog (BD/ISA-PRC3)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Edrija Colic (BCI/CTG)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Jochen Damzog (BD/ISA-PRC3)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n\a";"Germany Middle Feuerbach";"Calin Bogdan Sutean (BD/WPA-PWS4)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Alexander Rapp (BD/TOA-PLM2)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"WW ITFM ASSETS CSG";"Sophia Boese (BCI/PAP-EAP1)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany South West, Switzerland3";"Linda Arrazola de Stoermer (BCI/ADM1)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Marcel Schollenberger (C/SCL-BD)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Raimond Eisele (BCI/ESP-PO)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Kai Kronhofmann (BD/WPA-IAM1)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany South West, Switzerland1";"Marcel Friedmann (BD/DPA-CAL3)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"10.1.210.164";"fe27-c-00002";"10.1.210.164";"2025-11-17T10:00:00.000+0100";"Bosch Intranet";"WLAN";"NONE";"NONE";"2025-09-09T14:13:24.000+00:00";"n/a";"Germany Middle Feuerbach";"Corina Stolz (BCI/PAS-EAP)";"CN=FE27-C-00002,OU=Win10,OU=CLIENTCOMPUTERS,OU=Ci-winclient,OU=Applications,DC=de,DC=bosch,DC=com";;;;;;;
"ti1fe145132";"ti1fe145132";"10.10.145.132";"2025-11-19T06:00:00.000+0100";"Bosch Security Layer";"Manufacturing";"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE";"BE_Ti_Tienen";"2025-09-09T14:13:24.000+00:00";"M604 PKS-JBA Menger";"ITM-ED-Ti CSG";"Ludwig Vandermaesen (RBBE/MOE-RB)";"CN=TI1FE145132,OU=NonPeacy,OU=Clientcomputers,OU=Ti,DC=emea,DC=bosch,DC=com";"OU=Ti,DC=emea,DC=bosch,DC=com";"Tienen";;"BE";"Ti";"Location OU for Tienen, Belgium";"False"
"ti1fe145134";"ti1fe145134";"10.10.145.134";"2025-11-19T06:00:00.000+0100";"Bosch Security Layer";"Manufacturing";"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE";"BE_Ti_Tienen";"2025-09-09T14:13:24.000+00:00";"M604 PKS-JBA KKV";"ITM-ED-Ti CSG";"Ludwig Vandermaesen (RBBE/MOE-RB)";"CN=TI1FE145134,OU=NonPeacy,OU=Clientcomputers,OU=Ti,DC=emea,DC=bosch,DC=com";"OU=Ti,DC=emea,DC=bosch,DC=com";"Tienen";;"BE";"Ti";"Location OU for Tienen, Belgium";"False"
"ti1fe145135";"ti1fe145135";"10.10.145.135";"2025-11-19T06:00:00.000+0100";"Bosch Security Layer";"Manufacturing";"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE";"BE_Ti_Tienen";"2025-09-09T14:13:24.000+00:00";"M604 PKS-JBA Batch Label";"ITM-ED-Ti CSG";"Ludwig Vandermaesen (RBBE/MOE-RB)";"CN=TI1FE145135,OU=NonPeacy,OU=Clientcomputers,OU=Ti,DC=emea,DC=bosch,DC=com";"OU=Ti,DC=emea,DC=bosch,DC=com";"Tienen";;"BE";"Ti";"Location OU for Tienen, Belgium";"False"
